id,from_id,from_circuit,to_id,to_circuit,distance_km,transport_mode,needs_air,truck_distance_km,truck_viable,truck_emissions,air_emissions
1858,40,Seoul,25,Zandvoort,8571.494609472806,,1,,0.0,,3600027.7359785787
1859,40,Seoul,26,Valencia,9902.236022771383,,1,,0.0,,4158939.1295639807
1860,40,Seoul,27,Le Castellet,9248.981303955716,,1,,0.0,,3884572.1476614005
1861,40,Seoul,28,Lusail,7096.075342741886,,1,,0.0,,2980351.643951592
1862,40,Seoul,29,Yeongam County,319.0367644450147,,1,,0.0,,133995.44106690618
1863,40,Seoul,30,Miami,12401.011131741125,,1,,0.0,,5208424.675331272
1864,40,Seoul,31,Uttar Pradesh,4670.8038568071,,1,,0.0,,1961737.6198589818
1865,40,Seoul,32,Monte Carlo,9119.338374942034,,1,,0.0,,3830122.1174756545
1866,40,Seoul,33,Las Vegas,9621.35281022486,,1,,0.0,,4040968.1802944415
1867,40,Seoul,34,Portimão,10531.290621599403,,1,,0.0,,4423142.061071749
1868,40,Seoul,35,Oyama,1095.253825886958,,1,,0.0,,460006.60687252233
1869,40,Seoul,36,Nürburgring,8619.635946997898,,1,,0.0,,3620247.097739117
1870,40,Seoul,37,Yas Marina,6883.312043734931,,1,,0.0,,2890991.0583686708
1871,40,Seoul,38,Mugello,8873.42346808121,,1,,0.0,,3726837.856594108
1872,40,Seoul,39,Cape Town,13714.07949369933,,1,,0.0,,5759913.387353717
1873,40,Seoul,41,Buenos Aires,19431.73235082022,,1,,0.0,,8161327.587344493
1874,40,Seoul,42,Chicago,10509.840393142522,,1,,0.0,,4414132.965119859
1875,40,Seoul,43,Auckland,9621.464405319157,,1,,0.0,,4041015.0502340454
1876,40,Seoul,44,Riyadh,7550.410679865696,,1,,0.0,,3171172.485543592
1877,40,Seoul,45,Lagos,12398.31659613161,,1,,0.0,,5207292.970375276
1878,40,Seoul,46,Oslo,7716.214173455424,,1,,0.0,,3240809.9528512782
1879,40,Seoul,47,Kuala Terengganu,4322.655526522494,,1,,0.0,,1815515.3211394474
1880,40,Seoul,48,Vancouver,8159.028397357003,,1,,0.0,,3426791.926889941
1881,41,Buenos Aires,1,Silverstone,11129.421319213121,,1,,,,4674356.95406951
1882,41,Buenos Aires,2,Budapest,11950.618753546687,,1,,,,5019259.876489609
1883,41,Buenos Aires,3,Monza,11206.254406799011,,1,,,,4706626.850855584
1884,41,Buenos Aires,4,São Paulo,1657.5080874841706,,0,2185.42,1.0,91787.64,696153.3967433517
1885,41,Buenos Aires,5,Sakhir,13260.648092667054,,1,,,,5569472.198920163
1886,41,Buenos Aires,6,Melbourne,11605.881880063685,,1,,,,4874470.389626747
1887,41,Buenos Aires,7,Suzuka,18652.19127591043,,1,,,,7833920.335882381
1888,41,Buenos Aires,8,Shanghai,19650.158467859197,,1,,,,8253066.556500863
1889,41,Buenos Aires,9,Kuala Lumpur,15920.70365008865,,1,,,,6686695.533037232
1890,41,Buenos Aires,10,Catalunya,10485.315157240204,,1,,,,4403832.366040886
1891,41,Buenos Aires,11,Spielberg,11648.541960566805,,1,,,,4892387.623438058
1892,41,Buenos Aires,12,Montreal,9036.428625381037,,1,,,,3795300.0226600356
1893,41,Buenos Aires,13,Hockenheim,11425.067208659644,,1,,,,4798528.227637051
1894,41,Buenos Aires,14,Marina Bay,15878.31344240235,,1,,,,6668891.645808986
1895,41,Buenos Aires,15,Austin,8291.51960072095,,1,,,,3482438.2323027994
1896,41,Buenos Aires,16,Imola,11268.032847620969,,1,,,,4732573.796000807
1897,41,Buenos Aires,17,Mexico City,7387.008339501844,,1,,,,3102543.5025907746
1898,41,Buenos Aires,18,Baku,13825.793408798812,,1,,,,5806833.231695501
1899,41,Buenos Aires,19,Istanbul,12273.412569873155,,1,,,,5154833.279346725
1900,41,Buenos Aires,20,Magny Cours,10942.769726509006,,1,,,,4595963.285133783
1901,41,Buenos Aires,21,Spa-Francorchamps,11361.387830291562,,1,,,,4771782.888722456
1902,41,Buenos Aires,22,Sochi,13175.201095769256,,1,,,,5533584.460223087
1903,41,Buenos Aires,23,Indianapolis,8752.80364181719,,1,,,,3676177.5295632198
1904,41,Buenos Aires,24,Jeddah,12009.171852913074,,1,,,,5043852.178223491
1905,41,Buenos Aires,25,Zandvoort,11428.622493997816,,1,,,,4800021.447479083
1906,41,Buenos Aires,26,Valencia,10164.404106701928,,1,,,,4269049.724814809
1907,41,Buenos Aires,27,Le Castellet,10824.832895429085,,1,,,,4546429.816080215
1908,41,Buenos Aires,28,Lusail,13317.80595923967,,1,,,,5593478.502880661
1909,41,Buenos Aires,29,Yeongam County,19576.04544197731,,1,,0.0,,8221939.085630469
1910,41,Buenos Aires,30,Miami,7117.089736505959,,1,,,,2989177.689332503
1911,41,Buenos Aires,31,Uttar Pradesh,15810.429204597645,,1,,,,6640380.26593101
1912,41,Buenos Aires,32,Monte Carlo,10959.249766645706,,1,,,,4602884.901991197
1913,41,Buenos Aires,33,Las Vegas,9822.253097088551,,1,,,,4125346.3007771918
1914,41,Buenos Aires,34,Portimão,9498.303451153053,,1,,,,3989287.449484282
1915,41,Buenos Aires,35,Oyama,18437.909910447783,,1,,,,7743922.16238807
1916,41,Buenos Aires,36,Nürburgring,11406.816038562894,,1,,,,4790862.736196415
1917,41,Buenos Aires,37,Yas Marina,13549.516324187905,,1,,,,5690796.856158921
1918,41,Buenos Aires,38,Mugello,11222.684455194305,,1,,,,4713527.471181608
1919,41,Buenos Aires,39,Cape Town,6870.005746008781,,1,,0.0,,2885402.413323688
1920,41,Buenos Aires,40,Seoul,19431.73235082022,,1,,0.0,,8161327.587344493
1921,41,Buenos Aires,42,Chicago,9012.026423042409,,1,,,,3785051.0976778115
1922,41,Buenos Aires,43,Auckland,10354.896347842534,,1,,,,4349056.466093863
1923,41,Buenos Aires,44,Riyadh,12851.1749467276,,1,,,,5397493.477625593
1924,41,Buenos Aires,45,Lagos,7916.159458153194,,1,,0.0,,3324786.9724243414
1925,41,Buenos Aires,46,Oslo,12247.692275352723,,1,,,,5144030.755648144
1926,41,Buenos Aires,47,Kuala Terengganu,16245.849093349932,,1,,,,6823256.6192069715
1927,41,Buenos Aires,48,Vancouver,11298.850244873249,,1,,,,4745517.102846765
1928,42,Chicago,1,Silverstone,6269.5406093533375,,1,,,,2633207.055928402
1929,42,Chicago,2,Budapest,7750.120530187946,,1,,,,3255050.6226789374
1930,42,Chicago,3,Monza,7285.277279467926,,1,,,,3059816.4573765285
1931,42,Chicago,4,São Paulo,8419.336014383558,,1,,,,3536121.1260410943
1932,42,Chicago,5,Sakhir,11324.911051290608,,1,,,,4756462.641542056
1933,42,Chicago,6,Melbourne,15573.919343950321,,1,,,,6541046.124459135
1934,42,Chicago,7,Suzuka,10370.3103149699,,1,,,,4355530.332287357
1935,42,Chicago,8,Shanghai,11354.32408581091,,1,,,,4768816.116040582
1936,42,Chicago,9,Kuala Lumpur,14962.156272628936,,1,,,,6284105.634504152
1937,42,Chicago,10,Catalunya,7076.501036563659,,1,,,,2972130.4353567366
1938,42,Chicago,11,Spielberg,7514.446623942772,,1,,,,3156067.582055964
1939,42,Chicago,12,Montreal,1201.6915754026766,,0,1378.68,1.0,57904.56,504710.4616691242
1940,42,Chicago,13,Hockenheim,7005.699806994374,,1,,,,2942393.918937637
1941,42,Chicago,14,Marina Bay,15077.407477171515,,1,,,,6332511.140412036
1942,42,Chicago,15,Austin,1583.8503681531513,,0,1832.58,1.0,76968.36,665217.1546243236
1943,42,Chicago,16,Imola,7523.365843284062,,1,,,,3159813.6541793062
1944,42,Chicago,17,Mexico City,2722.9001219350694,,0,3312.64,1.0,139130.88,1143618.0512127292
1945,42,Chicago,18,Baku,9916.426604603696,,1,,,,4164899.1739335516
1946,42,Chicago,19,Istanbul,8842.019881253162,,1,,,,3713648.350126328
1947,42,Chicago,20,Magny Cours,6817.242678359846,,1,,,,2863241.9249111353
1948,42,Chicago,21,Spa-Francorchamps,6782.6023361583075,,1,,,,2848692.981186489
1949,42,Chicago,22,Sochi,9184.945091462654,,1,,,,3857676.938414315
1950,42,Chicago,23,Indianapolis,259.6578663849459,,0,287.93,1.0,12093.06,109056.30388167729
1951,42,Chicago,24,Jeddah,11082.182123116061,,1,,,,4654516.491708746
1952,42,Chicago,25,Zandvoort,6586.02256295173,,1,,,,2766129.4764397265
1953,42,Chicago,26,Valencia,7024.203284138588,,1,,,,2950165.379338207
1954,42,Chicago,27,Le Castellet,7210.731987090771,,1,,,,3028507.434578124
1955,42,Chicago,28,Lusail,11424.492402401182,,1,,,,4798286.809008496
1956,42,Chicago,29,Yeongam County,10816.691329641097,,1,,0.0,,4543010.358449261
1957,42,Chicago,30,Miami,1895.1278088725198,,0,2159.12,1.0,90683.04,795953.6797264583
1958,42,Chicago,31,Uttar Pradesh,12058.801096277399,,1,,,,5064696.460436507
1959,42,Chicago,32,Monte Carlo,7287.2146669668855,,1,,,,3060630.160126092
1960,42,Chicago,33,Las Vegas,2448.073340755565,,0,2810.83,1.0,118054.86,1028190.8031173374
1961,42,Chicago,34,Portimão,6546.304793832842,,1,,,,2749448.013409794
1962,42,Chicago,35,Oyama,10205.441942304229,,1,,,,4286285.615767776
1963,42,Chicago,36,Nürburgring,6847.253491787651,,1,,,,2875846.466550813
1964,42,Chicago,37,Yas Marina,11678.306138316242,,1,,,,4904888.578092822
1965,42,Chicago,38,Mugello,7524.934014768644,,1,,,,3160472.2862028307
1966,42,Chicago,39,Cape Town,13667.217839662575,,1,,0.0,,5740231.492658282
1967,42,Chicago,40,Seoul,10509.840393142522,,1,,0.0,,4414132.965119859
1968,42,Chicago,41,Buenos Aires,9012.026423042409,,1,,,,3785051.0976778115
1969,42,Chicago,43,Auckland,13191.416970411574,,1,,,,5540395.1275728615
1970,42,Chicago,44,Riyadh,11247.12331266478,,1,,,,4723791.791319208
1971,42,Chicago,45,Lagos,9607.024594021072,,1,,0.0,,4034950.3294888497
1972,42,Chicago,46,Oslo,6499.649165822421,,1,,,,2729852.6496454165
1973,42,Chicago,47,Kuala Terengganu,14653.421476447369,,1,,,,6154437.020107895
1974,42,Chicago,48,Vancouver,2852.6476616033706,,0,3531.61,1.0,148327.62,1198112.0178734157
1975,43,Auckland,1,Silverstone,18289.53893821252,,1,,,,7681606.354049259
1976,43,Auckland,2,Budapest,17686.888084951035,,1,,,,7428492.995679434
1977,43,Auckland,3,Monza,18462.26012652611,,1,,,,7754149.253140966
1978,43,Auckland,4,São Paulo,12002.250170477615,,1,,,,5040945.071600598
1979,43,Auckland,5,Sakhir,14667.215942661473,,1,,,,6160230.695917818
1980,43,Auckland,6,Melbourne,2624.922518710567,,1,,,,1102467.4578584381
1981,43,Auckland,7,Suzuka,8897.591807410898,,1,,,,3736988.559112577
1982,43,Auckland,8,Shanghai,9406.344841568629,,1,,,,3950664.8334588236
1983,43,Auckland,9,Kuala Lumpur,8695.571713817195,,1,,,,3652140.119803222
1984,43,Auckland,10,Catalunya,19183.2205817449,,1,,,,8056952.644332857
1985,43,Auckland,11,Spielberg,18009.939697580907,,1,,,,7564174.672983981
1986,43,Auckland,12,Montreal,14392.8975399107,,1,,,,6045016.966762494
1987,43,Auckland,13,Hockenheim,18237.185654286768,,1,,,,7659617.974800442
1988,43,Auckland,14,Marina Bay,8409.023737610542,,1,,,,3531789.969796427
1989,43,Auckland,15,Austin,11762.693113730269,,1,,,,4940331.107766713
1990,43,Auckland,16,Imola,18363.468251487313,,1,,,,7712656.665624672
1991,43,Auckland,17,Mexico City,10957.19791210433,,1,,,,4602023.123083819
